transaction_id,user_id,transaction_time,amount,rule_score,behavioral_risk_score,model_score,final_score,risk_class,triggered_rules
txn_000259,user_0000,2024-01-04 11:26:28.666085665,54.25,0.0,0.0,0.007744429788617291,0.0030977719154469167,low_risk,[]
txn_000650,user_0000,2024-01-09 09:40:47.217910319,69.88,0.0,0.0,0.03378054801206018,0.013512219204824073,low_risk,[]
txn_000788,user_0000,2024-01-11 04:30:43.064037715,45.09,0.0,0.0,0.007917117241771071,0.003166846896708429,low_risk,[]
txn_000815,user_0000,2024-01-11 12:39:56.286265991,5647.38,0.7,0.8,0.9999467184017954,0.8449786873607181,high_risk,"['jump_from_previous', 'high_vs_average', 'high_share_of_total']"
txn_000880,user_0000,2024-01-12 12:21:59.300755066,46.98,0.0,0.0,4.987704447546021e-05,1.9950817790184086e-05,low_risk,[]
txn_000892,user_0000,2024-01-12 17:04:01.786579911,82.16,0.0,0.0,0.0011069674716453098,0.00044278698865812393,low_risk,[]
txn_001190,user_0000,2024-01-16 21:11:05.507851681,72.48,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_001212,user_0000,2024-01-17 02:02:33.183389736,75.38,0.0,0.0,0.00042203465895004015,0.00016881386358001606,low_risk,[]
txn_001337,user_0000,2024-01-18 18:40:17.284270866,65.89,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_001412,user_0000,2024-01-19 20:39:39.734593426,80.94,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_001588,user_0000,2024-01-21 16:16:58.355676226,61.12,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_001820,user_0000,2024-01-25 02:23:33.910704607,65.12,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_001829,user_0000,2024-01-25 04:08:47.890503551,72.94,0.1,0.0,0.00042203465895004015,0.03516881386358001,low_risk,['increasing_sequence']
txn_002541,user_0000,2024-02-03 10:04:57.237273438,70.96,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_002761,user_0000,2024-02-06 09:04:16.080231038,52.45,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_003091,user_0000,2024-02-10 15:54:01.457331970,85.5,0.0,0.0,0.00046530566453676405,0.00018612226581470563,low_risk,[]
txn_003100,user_0000,2024-02-10 21:06:51.986423359,63.15,0.0,0.0,4.987704447546021e-05,1.9950817790184086e-05,low_risk,[]
txn_003673,user_0000,2024-02-18 17:15:46.836630665,70.35,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_003683,user_0000,2024-02-18 20:50:32.573344361,62.14,0.0,0.0,0.00042203465895004015,0.00016881386358001606,low_risk,[]
txn_003760,user_0000,2024-02-20 01:08:02.704138929,66.98,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_003838,user_0000,2024-02-20 20:53:06.319687425,57.97,0.0,0.0,0.00042203465895004015,0.00016881386358001606,low_risk,[]
txn_003948,user_0000,2024-02-22 08:59:35.892950645,42.39,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_004040,user_0000,2024-02-23 09:27:16.452662964,56.81,0.0,0.0,0.0006693652505612588,0.0002677461002245035,low_risk,[]
txn_004129,user_0000,2024-02-24 19:07:50.392311042,78.38,0.1,0.0,9.745218207163335e-05,0.03503898087282865,low_risk,['increasing_sequence']
txn_004237,user_0000,2024-02-26 07:52:46.956209287,70.31,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_004288,user_0000,2024-02-26 22:58:57.623279991,90.12,0.0,0.0,0.00034431640292699293,0.00013772656117079718,low_risk,[]
txn_004496,user_0000,2024-02-29 16:32:48.723410578,82.86,0.0,0.0,0.0001751704380946806,7.006817523787223e-05,low_risk,[]
txn_000532,user_0001,2024-01-08 01:41:42.782295828,46.0,0.0,0.0,0.02229717863776745,0.00891887145510698,low_risk,[]
txn_000862,user_0001,2024-01-12 07:29:00.732403646,48.1,0.0,0.0,0.10277569507480169,0.04111027802992068,low_risk,[]
txn_001072,user_0001,2024-01-15 07:12:26.936212919,37.4,0.0,0.0,0.028781148051500813,0.011512459220600325,low_risk,[]
txn_001113,user_0001,2024-01-15 19:17:02.677237579,54.14,0.0,0.0,0.09361810121504717,0.03744724048601887,low_risk,[]
txn_001302,user_0001,2024-01-18 06:30:39.677433630,45.05,0.0,0.0,0.14144327270370047,0.05657730908148019,low_risk,[]
txn_001791,user_0001,2024-01-24 16:56:47.925848266,45.38,0.0,0.0,0.2555317582948024,0.10221270331792097,low_risk,[]
txn_002008,user_0001,2024-01-27 11:21:38.728123213,34.52,0.0,0.0,0.061386832074653556,0.024554732829861425,low_risk,[]
txn_002284,user_0001,2024-01-31 04:08:23.673306151,46.36,0.0,0.0,0.15391181017578956,0.061564724070315824,low_risk,[]
txn_002296,user_0001,2024-01-31 07:35:55.565167409,49.47,0.1,0.0,0.2656881611598419,0.14127526446393676,low_risk,['increasing_sequence']
txn_002378,user_0001,2024-02-01 09:15:01.148263968,39.56,0.0,0.0,0.1608214011834882,0.06432856047339529,low_risk,[]
txn_002390,user_0001,2024-02-01 15:32:20.354296145,37.83,0.0,0.0,0.10795683009977894,0.043182732039911575,low_risk,[]
txn_002653,user_0001,2024-02-04 23:00:28.306846563,50.85,0.0,0.0,0.14274714709118577,0.05709885883647431,low_risk,[]
txn_003092,user_0001,2024-02-10 16:16:46.083593511,40.65,0.0,0.0,0.14858715023721233,0.05943486009488494,low_risk,[]
txn_003319,user_0001,2024-02-13 16:51:35.822429384,42.94,0.0,0.0,0.17600334132333514,0.07040133652933406,low_risk,[]
txn_003358,user_0001,2024-02-14 04:35:36.360566587,34.67,0.0,0.0,0.03515259782659777,0.014061039130639108,low_risk,[]
txn_003394,user_0001,2024-02-14 16:28:12.489802053,40.68,0.0,0.0,0.36760342775125104,0.14704137110050042,low_risk,[]
txn_003412,user_0001,2024-02-14 23:04:05.235047647,41.07,0.1,0.0,0.32803826391391605,0.16621530556556643,low_risk,['increasing_sequence']
txn_003544,user_0001,2024-02-16 20:24:26.029826744,543.11,0.6,0.6677408122738772,0.9999814778244542,0.776927794198251,high_risk,"['jump_from_previous', 'high_vs_average', 'increasing_sequence']"
txn_003567,user_0001,2024-02-17 05:07:24.921436943,40.91,0.0,0.0,0.005513746090209346,0.0022054984360837383,low_risk,[]
txn_003709,user_0001,2024-02-19 05:31:42.812963003,30.32,0.0,0.0,0.002514811493194231,0.0010059245972776924,low_risk,[]
txn_003968,user_0001,2024-02-22 14:24:59.471288827,41.14,0.0,0.0,0.002896613430821609,0.0011586453723286436,low_risk,[]
txn_004128,user_0001,2024-02-24 18:56:29.041799925,49.68,0.1,0.0,0.006535176067327549,0.03761407042693102,low_risk,['increasing_sequence']
txn_004235,user_0001,2024-02-26 07:27:23.403254165,30.61,0.0,0.0,0.0065723023535316305,0.0026289209414126526,low_risk,[]
txn_000325,user_0002,2024-01-05 06:40:42.705214238,77.06,0.0,0.0,0.01842564463680863,0.007370257854723453,low_risk,[]
txn_000334,user_0002,2024-01-05 10:38:35.030585277,81.75,0.0,0.0,0.06397407656716476,0.02558963062686591,low_risk,[]
txn_000392,user_0002,2024-01-06 09:36:07.211177745,83.71,0.1,0.0,0.07893976602672162,0.06657590641068864,low_risk,['increasing_sequence']
txn_000544,user_0002,2024-01-08 04:57:33.506445576,79.46,0.0,0.0,0.11290679437600565,0.04516271775040226,low_risk,[]
txn_000604,user_0002,2024-01-08 22:51:38.147652128,86.34,0.0,0.0,0.1085678401231612,0.043427136049264486,low_risk,[]
txn_000787,user_0002,2024-01-11 04:23:17.920830938,67.94,0.0,0.0,0.026306134317752708,0.010522453727101084,low_risk,[]
txn_000954,user_0002,2024-01-13 16:57:06.895409352,88.79,0.0,0.0,0.059808857915363195,0.02392354316614528,low_risk,[]
txn_001593,user_0002,2024-01-21 18:19:54.857938144,102.67,0.1,0.0,0.0898232679198456,0.07092930716793824,low_risk,['increasing_sequence']
txn_002031,user_0002,2024-01-27 20:14:44.025290295,76.57,0.0,0.0,0.05358282313128329,0.021433129252513318,low_risk,[]
txn_002120,user_0002,2024-01-29 01:25:10.313501901,68.25,0.0,0.0,0.0024971829703423916,0.0009988731881369567,low_risk,[]
txn_002373,user_0002,2024-02-01 07:51:36.481609934,63.24,0.0,0.0,0.0014717878975385823,0.0005887151590154329,low_risk,[]
txn_002643,user_0002,2024-02-04 19:32:45.283595417,85.74,0.0,0.0,0.028989789467903496,0.011595915787161399,low_risk,[]
txn_002878,user_0002,2024-02-07 20:30:47.848293443,109.1,0.1,0.0,0.14040554957045606,0.09116221982818243,low_risk,['increasing_sequence']
txn_002913,user_0002,2024-02-08 07:23:35.663932415,70.38,0.0,0.0,0.008050830020967428,0.003220332008386971,low_risk,[]
