transaction_id,user_id,transaction_time,amount,transaction_type,merchant_id,country,device_id,is_anomaly
txn_000000,user_0049,2024-01-01 00:27:09.951434946,27.01,purchase,mrc_6866,FR,dev_756716,0
txn_000001,user_0003,2024-01-01 00:49:05.182078368,48.43,purchase,mrc_5918,FR,dev_973627,0
txn_000002,user_0177,2024-01-01 00:56:01.218314169,39.43,payment,mrc_9901,DE,dev_240181,0
txn_000003,user_0154,2024-01-01 00:59:37.867535810,93.2,payment,mrc_9049,NL,dev_343626,0
txn_000004,user_0169,2024-01-01 00:59:43.470656847,40.41,purchase,mrc_9378,MX,dev_169030,0
txn_000005,user_0068,2024-01-01 01:22:32.448467323,144.16,purchase,mrc_6003,US,dev_109654,0
txn_000006,user_0108,2024-01-01 01:50:03.100564616,75.44,transfer,mrc_3388,US,dev_423684,0
txn_000007,user_0038,2024-01-01 02:20:54.314113219,84.92,transfer,mrc_2210,RU,dev_665036,0
txn_000008,user_0103,2024-01-01 02:29:00.555824757,101.94,purchase,mrc_9936,US,dev_931748,0
txn_000009,user_0080,2024-01-01 03:15:08.471462439,34.87,purchase,mrc_9383,US,dev_149548,0
txn_000010,user_0091,2024-01-01 03:30:45.229620906,66.04,purchase,mrc_9637,DE,dev_225701,0
txn_000011,user_0077,2024-01-01 03:42:47.516762463,30.65,withdrawal,mrc_9727,FR,dev_803803,0
txn_000012,user_0198,2024-01-01 03:42:48.889102376,64.54,purchase,mrc_7841,IT,dev_496956,0
txn_000013,user_0173,2024-01-01 04:07:01.163248366,50.13,purchase,mrc_1871,US,dev_515554,0
txn_000014,user_0063,2024-01-01 04:08:04.876715510,68.96,withdrawal,mrc_2772,GB,dev_321655,0
txn_000015,user_0111,2024-01-01 04:21:31.915515841,187.38,purchase,mrc_6658,DE,dev_824486,0
txn_000016,user_0165,2024-01-01 04:22:39.548426075,67.91,payment,mrc_2633,GB,dev_450186,0
txn_000017,user_0035,2024-01-01 04:24:28.767615457,57.24,purchase,mrc_4542,NL,dev_149855,0
txn_000018,user_0130,2024-01-01 04:50:30.091823467,71.31,withdrawal,mrc_7645,GB,dev_425066,0
txn_000019,user_0194,2024-01-01 05:15:25.091199228,84.8,withdrawal,mrc_4804,US,dev_530563,0
txn_000020,user_0045,2024-01-01 05:21:53.033874385,32.87,purchase,mrc_6151,US,dev_568492,0
txn_000021,user_0089,2024-01-01 05:40:43.056751008,92.0,purchase,mrc_6713,GB,dev_154564,0
txn_000022,user_0106,2024-01-01 06:24:26.408344927,44.23,purchase,mrc_7457,DE,dev_776495,0
txn_000023,user_0176,2024-01-01 07:01:55.752966468,53.7,purchase,mrc_1042,US,dev_354405,0
txn_000024,user_0018,2024-01-01 07:10:42.060086547,79.35,purchase,mrc_9439,FR,dev_534072,0
txn_000025,user_0126,2024-01-01 07:34:28.479102872,40.1,purchase,mrc_9313,RU,dev_408162,0
txn_000026,user_0171,2024-01-01 07:37:33.841430122,37.13,purchase,mrc_8868,GB,dev_735490,0
txn_000027,user_0104,2024-01-01 07:39:54.338897538,53.56,transfer,mrc_3458,ES,dev_626174,0
txn_000028,user_0057,2024-01-01 07:48:16.242257538,32.3,withdrawal,mrc_1490,CA,dev_761158,0
txn_000029,user_0072,2024-01-01 08:15:08.989296820,17.74,purchase,mrc_7916,CN,dev_152297,0
txn_000030,user_0196,2024-01-01 08:20:36.198659407,89.92,purchase,mrc_1129,GB,dev_520735,0
txn_000031,user_0179,2024-01-01 08:22:06.790949619,21.6,payment,mrc_2939,ES,dev_449253,0
txn_000032,user_0095,2024-01-01 09:09:40.464578864,9.47,purchase,mrc_3902,CN,dev_540551,0
txn_000033,user_0185,2024-01-01 09:39:11.565697029,115.64,purchase,mrc_6878,ES,dev_494056,0
txn_000034,user_0044,2024-01-01 10:44:14.140500994,23.22,payment,mrc_6342,BR,dev_176043,0
txn_000035,user_0016,2024-01-01 10:46:31.851817478,72.35,payment,mrc_1930,GB,dev_694538,0
txn_000036,user_0111,2024-01-01 10:57:54.626689787,176.47,withdrawal,mrc_6639,DE,dev_824486,0
txn_000037,user_0103,2024-01-01 11:26:51.163417018,67.43,purchase,mrc_9936,US,dev_931748,0
txn_000038,user_0155,2024-01-01 11:27:22.947990762,71.8,withdrawal,mrc_6271,FR,dev_681661,0
txn_000039,user_0167,2024-01-01 12:33:29.426692612,60.86,purchase,mrc_1049,FR,dev_606400,0
txn_000040,user_0075,2024-01-01 13:54:53.270693126,32.35,transfer,mrc_6098,GB,dev_228165,0
txn_000041,user_0055,2024-01-01 14:35:53.158425386,26.94,purchase,mrc_8614,BR,dev_821332,0
txn_000042,user_0101,2024-01-01 14:38:46.266985838,82.37,withdrawal,mrc_2489,DE,dev_472623,0
